name,zipcode,inspection_date,score,address,city,state,lat,lon,facility_id,description
7-Eleven,78701,01/30/2015,89,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78703,09/12/2013,97,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78726,10/31/2012,95,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
7-Eleven,78701,07/17/2013,74,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78741,10/27/2014,93,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78704,05/27/2014,90,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven,78703,02/13/2015,97,2620 LAKE AUSTIN BLVD,AUSTIN,78703,30.281907965000073,-97.77587573499994,10074325,Routine Inspection
7-Eleven,78741,05/21/2012,81,1705 S LAKESHORE BLVD,AUSTIN,78741,30.244863257000077,-97.72962083799996,10132234,Routine Inspection
7-Eleven,78745,11/18/2014,100,8010 BRODIE LN,AUSTIN,78745,30.202846453000063,-97.83752626899997,10138206,Routine Inspection
7-Eleven,78701,06/26/2012,100,411 W MARTIN LUTHER KING JR BLVD,AUSTIN,78701,30.281723600000078,-97.74203782699999,10401573,Routine Inspection
7-Eleven,78726,07/19/2013,97,11518 N FM 620 RD,AUSTIN,78726,30.454742171000078,-97.82656000299994,10063456,Routine Inspection
7-Eleven,78704,10/04/2013,88,1403 S LAMAR BLVD,AUSTIN,78704,30.252961493000043,-97.76345874599997,10479184,Routine Inspection
7-Eleven #12702,78741,02/19/2014,87,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12702,78741,08/12/2013,84,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12702,78741,02/18/2015,85,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12702,78741,07/31/2012,82,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12702,78741,08/22/2014,87,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12702,78741,02/04/2013,92,1747 E OLTORF ST,AUSTIN,78741,30.23242437500005,-97.73724087799997,10599390,Routine Inspection
7-Eleven #12705,78701,07/12/2013,84,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven #12705,78701,01/21/2014,97,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven #12705,78701,07/29/2014,96,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven #12705,78701,01/04/2013,94,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven #12705,78701,12/30/2014,93,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven #12705,78701,07/20/2012,97,408 W 15TH ST,AUSTIN,78701,30.27821720600008,-97.74377316399995,10207779,Routine Inspection
7-Eleven  #208,78759,08/27/2014,93,11643 RESEARCH BLVD NB Unit B,AUSTIN,78759,30.41649956300006,-97.74593256299994,10874481,Routine Inspection
7-Eleven  #208,78759,08/30/2013,100,11643 RESEARCH BLVD NB Unit B,AUSTIN,78759,30.41649956300006,-97.74593256299994,10874481,Routine Inspection
7-Eleven  #208,78759,01/12/2015,91,11643 RESEARCH BLVD NB Unit B,AUSTIN,78759,30.41649956300006,-97.74593256299994,10874481,Routine Inspection
7-Eleven  #208,78759,02/21/2014,83,11643 RESEARCH BLVD NB Unit B,AUSTIN,78759,30.41649956300006,-97.74593256299994,10874481,Routine Inspection
7-Eleven #22245,78704,10/31/2012,90,2103 S CONGRESS AVE,AUSTIN,78704,30.24323969200003,-97.75201082599995,10159452,Routine Inspection
7-Eleven #22245,78704,04/30/2014,100,2103 S CONGRESS AVE,AUSTIN,78704,30.24323969200003,-97.75201082599995,10159452,Routine Inspection
7-Eleven #22245,78704,10/31/2013,97,2103 S CONGRESS AVE,AUSTIN,78704,30.24323969200003,-97.75201082599995,10159452,Routine Inspection
7-Eleven #22245,78704,04/29/2013,100,2103 S CONGRESS AVE,AUSTIN,78704,30.24323969200003,-97.75201082599995,10159452,Routine Inspection
7-Eleven #22245,78704,12/01/2014,96,2103 S CONGRESS AVE,AUSTIN,78704,30.24323969200003,-97.75201082599995,10159452,Routine Inspection
7-Eleven #23807,78745,05/15/2012,96,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #23807,78745,11/20/2012,97,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #23807,78745,05/22/2013,93,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #23807,78745,07/23/2014,88,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #23807,78745,01/07/2015,95,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #23807,78745,12/12/2013,93,6306 MANCHACA RD,AUSTIN,78745,30.209097581000037,-97.80457561799994,10322285,Routine Inspection
7-Eleven #24397,78757,06/19/2014,97,5901 BURNET RD,AUSTIN,78757,30.335014329000046,-97.73975976599996,10750504,Routine Inspection
7-Eleven #24397,78757,12/09/2014,93,5901 BURNET RD,AUSTIN,78757,30.335014329000046,-97.73975976599996,10750504,Routine Inspection
7-Eleven #24397,78757,02/22/2013,84,5901 BURNET RD,AUSTIN,78757,30.335014329000046,-97.73975976599996,10750504,Routine Inspection
7-Eleven #24397,78757,09/19/2013,100,5901 BURNET RD,AUSTIN,78757,30.335014329000046,-97.73975976599996,10750504,Routine Inspection
7 Eleven # 32248,78717,03/11/2014,88,14016 N FM 620 RD,AUSTIN,78717,30.473340585000074,-97.78310598699994,10886896,Routine Inspection
7 Eleven # 32248,78717,02/10/2015,92,14016 N FM 620 RD,AUSTIN,78717,30.473340585000074,-97.78310598699994,10886896,Routine Inspection
7 Eleven # 32248,78717,09/12/2014,97,14016 N FM 620 RD,AUSTIN,78717,30.473340585000074,-97.78310598699994,10886896,Routine Inspection
7-Eleven #35792,78744,10/01/2013,90,1901 E WILLIAM CANNON DR,AUSTIN,78744,30.18841412300003,-97.76558816299996,10763496,Routine Inspection
7-Eleven #35792,78744,03/13/2015,96,1901 E WILLIAM CANNON DR,AUSTIN,78744,30.18841412300003,-97.76558816299996,10763496,Routine Inspection
7-Eleven #35792,78744,03/26/2013,82,1901 E WILLIAM CANNON DR,AUSTIN,78744,30.18841412300003,-97.76558816299996,10763496,Routine Inspection
7-Eleven #35792,78744,03/17/2014,85,1901 E WILLIAM CANNON DR,AUSTIN,78744,30.18841412300003,-97.76558816299996,10763496,Routine Inspection
7-Eleven #35792,78744,09/22/2014,94,1901 E WILLIAM CANNON DR,AUSTIN,78744,30.18841412300003,-97.76558816299996,10763496,Routine Inspection
